0 0 0.075847
1 0 -0.385876
2 0 -0.392001
3 0 -0.078010
4 0 0.335990
5 0 -0.362363
6 0 -0.832895
7 0 4.178611
8 0 3.205175
9 0 -3.680299
10 0 60.956564
11 0 -65.954527
12 0 -2.921008
0 1 0.154687
1 1 0.115315
2 1 0.580864
3 1 -6.168775
4 1 -11.579420
5 1 -13.337014
6 1 -10.295520
7 1 93.033319
8 1 -110.106400
9 1 -108.140316
10 1 84.565808
11 1 221.068400
12 1 10.712255
0 2 0.087966
1 2 0.071167
2 2 0.039976
3 2 0.024257
4 2 -0.060379
5 2 0.058197
6 2 0.069608
7 2 -0.558887
8 2 -0.444031
9 2 0.360000
10 2 -3.480419
11 2 4.750787
12 2 -0.583963
0 3 0.538816
1 3 0.250742
2 3 -0.199984
3 3 2.138005
4 3 4.074952
5 3 4.837699
6 3 4.295389
7 3 -33.626967
8 3 39.226554
9 3 38.206685
10 3 -86.933048
11 3 -23.566913
12 3 3.810767
