0 0 1.000000
1 1 1.000000
2 2 1.000000
0 3 0.038696
1 3 0.129217
2 3 0.210790
3 3 -0.895961
4 3 0.326079
5 3 0.542883
6 3 0.101693
7 3 -0.835854
8 3 1.300056
9 3 -2.871079
0 4 0.373859
1 4 -0.963964
2 4 0.163979
3 4 -0.266834
4 4 -1.066290
5 4 -0.019129
6 4 0.545499
7 4 -1.184276
8 4 -3.529271
9 4 0.436376
0 5 0.472516
1 5 0.443253
2 5 -0.529750
3 5 -0.394934
4 5 0.039484
5 5 -1.060348
6 5 -0.242319
7 5 3.658282
8 5 -1.845235
9 5 -1.249387
0 6 -0.477210
1 6 -0.063822
2 6 0.355018
3 6 0.077008
4 6 -0.516019
5 6 0.311180
6 6 -1.025972
7 6 -2.140720
8 6 -1.581332
9 6 -1.030199
0 7 0.089672
1 7 0.167468
2 7 -0.108602
7 7 0.631051
8 7 0.242253
9 7 -0.736923
0 8 0.021713
1 8 0.243783
2 8 0.094623
7 8 0.180120
8 8 0.878268
9 8 0.442935
0 9 0.134899
1 9 0.009265
2 9 0.081940
7 9 0.754517
8 9 -0.412250
9 9 0.510597
0 10 0.005308
1 10 0.003644
2 10 -0.000557
3 10 0.005486
4 10 -0.020595
5 10 -0.061817
6 10 0.004676
7 10 -0.036071
8 10 0.026656
9 10 0.223338
10 10 0.986835
11 10 0.161731
0 11 0.003319
1 11 -0.000796
2 11 0.005149
3 11 0.011868
4 11 0.006651
5 11 -0.092030
6 11 -0.011853
7 11 -0.028629
8 11 0.009034
9 11 0.411258
10 11 -0.161731
11 11 0.986835
0 12 -0.019866
1 12 -0.042429
2 12 -0.008750
3 12 -0.006616
4 12 -0.011596
5 12 -0.013337
6 12 0.020199
7 12 -0.077468
8 12 -0.059647
9 12 0.019976
10 12 17.232435
11 12 -8.222644
12 12 1.000000
